gridsize;amount of ships;date;winner;amount of turns
10;4;2020-03-16;Jan;14
10;4;2020-03-16;Elien;14
10;4;2020-03-16;Jan;14
10;4;2020-03-16;Elien;14
10;4;2020-03-16;Jan;14
10;4;2020-03-16;Jan;14
10;4;2020-03-16;Elien;14
10;4;2020-03-16;Jan;14
10;4;2020-03-16;Elien;14
10;4;2020-03-16;Jan;14
10;4;2020-03-16;Jan;14
10;4;2020-03-16;Elien;14
10;4;2020-03-16;Jan;14
10;4;2020-03-16;Jan;14
10;4;2020-03-16;Timo;14
10;4;2020-03-16;bear;14
10;4;2020-03-16;blues;14
10;4;2020-03-16;jan;14
10;4;2020-03-16;Jef;14
10;4;2020-03-16;Uku;14
10;4;2020-03-16;uku;15
